Mean squared error,Mean Absolute Error,Root Mean Squared Error,Mean Absolute Percentage Error,R2,Look back,Batch size,Epochs,LSTM values,LSTM models,Dropout values
0.6873499636977479,0.6421706273484113,0.8290657173576459,1.236208094771466,0.9869863972449133,200,16,5,100,0,0.2
0.6741400662592846,0.6356249842310078,0.8210603304625578,1.2203149221299396,0.9872365003463593,200,16,5,100,1,0
0.71029754041762,0.6625898662298595,0.8427915165790529,1.2616638195751162,0.9865519305781549,200,16,5,100,1,0.2
0.6470988190216314,0.6214278178046357,0.8044245266161589,1.1872023446170774,0.9877484725121244,200,16,10,50,0,0
0.6962757181605567,0.6565975825209158,0.8344313741468238,1.2620883543238939,0.9868174058591518,200,16,10,50,0,0.2
0.7132954496939865,0.6634588114225968,0.8445682031038029,1.264981037521428,0.9864951711361255,200,16,10,50,1,0
0.7911706271206957,0.7030280083012428,0.8894777271639216,1.3585949201107355,0.9850207597343105,200,16,10,50,1,0.2
0.7221242797426548,0.67174843279787,0.8497789593433429,1.2756774813322267,0.9863280148211278,200,16,10,100,0,0
0.7157223992461537,0.6659348564423127,0.8460037820519206,1.276910871211835,0.9864492216794489,200,16,10,100,0,0.2
0.7007037626214785,0.6548960915587341,0.8370804994870437,1.2564797446587628,0.9867335696554131,200,16,10,100,1,0
0.7368947426989165,0.6803432490742041,0.8584257351098675,1.3070833258288295,0.9860483655193552,200,16,10,100,1,0.2
0.7190536338415928,0.6665290071308446,0.847970302452623,1.2698516357512457,0.986386151386296,200,32,5,50,0,0
0.7057503954426485,0.6612113648559338,0.8400895163270689,1.2449060373360288,0.986638021712947,200,32,5,50,0,0.2
0.7000865118706471,0.6552178495034576,0.836711725668194,1.2562622270794184,0.9867452560691701,200,32,5,50,1,0
0.7762173361688467,0.6952464038618986,0.8810319722739048,1.3321713693254686,0.9853038705200908,200,32,5,50,1,0.2
0.7017479034361261,0.6549331157041958,0.8377039473681177,1.2493901037802357,0.9867138009284184,200,32,5,100,0,0
0.6502943189368662,0.6231113711237484,0.8064082830284336,1.192096768359363,0.9876879720848355,200,32,5,100,0,0.2
0.7018107094988689,0.658315863569696,0.8377414335574366,1.250092187146553,0.986712611820694,200,32,5,100,1,0
0.7381164099081885,0.6793930422485582,0.8591370146304886,1.2978314329735918,0.9860252356836091,200,32,5,100,1,0.2
0.6805399819640866,0.6431112507748811,0.8249484723084749,1.225543453748125,0.9871153306874562,200,32,10,50,0,0
0.7087270726339828,0.6575139488610771,0.8418592950333107,1.267706502746422,0.9865816642581655,200,32,10,50,0,0.2
0.7164286819026887,0.6637966934579081,0.8464211019951527,1.2777321647183637,0.9864358496238581,200,32,10,50,1,0
0.7943126574755065,0.7083558437809214,0.8912421991106045,1.3615397755362264,0.9849612716466674,200,32,10,50,1,0.2
0.6833556490943086,0.6463375251926357,0.8266532822739583,1.2310231329267174,0.987062021637542,200,32,10,100,0,0
0.6506771247156529,0.6306326443655667,0.8066456004439948,1.2021335754663611,0.987680724419744,200,32,10,100,0,0.2
0.7298772918017692,0.6735439439069608,0.8543285619723651,1.2921863184919624,0.9861812269773488,200,32,10,100,1,0
0.8091264724157978,0.7143817402936796,0.8995145759885149,1.3791131771596625,0.9846808015614095,200,32,10,100,1,0.2
